service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
202898,1,1,1,1,1,0,0,20241202,20260101
195136,1,1,1,1,1,0,0,20240902,20260101
192103,0,0,0,0,0,1,1,20240630,20260101
195265,1,1,1,1,1,0,0,20240902,20260101
173162,0,0,0,0,0,1,1,20230902,20260101
195267,1,1,1,1,1,0,0,20240902,20260101
172691,0,0,0,0,0,1,1,20230902,20260101
198437,1,1,1,1,1,0,0,20240923,20260101
201275,1,1,1,1,1,0,0,20241202,20260101
196136,0,0,0,0,0,1,1,20240907,20260101
195269,1,1,1,1,1,0,0,20240902,20260101
197925,1,1,1,1,1,0,0,20240910,20260101
199172,1,1,1,1,1,0,0,20241202,20260101
199171,1,1,1,1,1,0,0,20241202,20260101
174884,0,0,0,0,0,1,1,20230311,20260101
201800,1,1,1,1,1,0,0,20241111,20260101
201801,1,1,1,1,1,0,0,20241111,20260101
201802,0,0,0,0,0,1,1,20241109,20260101
199033,1,1,1,1,1,0,0,20241104,20260101
199035,0,0,0,0,0,1,1,20241005,20260101
195571,1,1,1,1,1,0,0,20240902,20260101
147920,0,0,0,0,0,1,1,20220903,20260101
195572,1,1,1,1,1,0,0,20240902,20260101
200500,0,0,0,0,0,0,1,20241208,20260101
201342,0,0,0,0,0,1,0,20241207,20260101
201414,0,1,1,1,1,0,0,20241203,20260101
200567,1,0,0,0,0,0,0,20241202,20260101
197926,1,1,1,1,1,0,0,20240910,20260101
203352,1,1,1,1,1,0,0,20241216,20260101
198158,1,1,1,1,1,0,0,20241001,20260101
186297,0,0,0,0,0,1,1,20240330,20260101
195984,1,1,1,1,1,0,0,20240902,20260101
192379,0,0,0,0,0,1,1,20240629,20260101
195576,1,1,1,1,1,0,0,20240902,20260101
172700,0,0,0,0,0,1,1,20230902,20260101
195596,1,1,1,1,1,0,0,20240902,20260101
182602,0,0,0,0,0,1,1,20240203,20260101
195580,1,1,1,1,1,0,0,20240902,20260101
195581,1,1,1,1,1,0,0,20240903,20260101
159274,0,0,0,0,0,1,1,20230304,20260101
195582,1,1,1,1,1,0,0,20240902,20260101
158097,0,0,0,0,0,1,1,20230107,20260101
195583,1,1,1,1,1,0,0,20240902,20260101
191315,0,0,0,0,0,1,1,20240601,20260101
195584,1,1,1,1,1,0,0,20240903,20260101
161594,0,0,0,0,0,1,1,20230304,20260101
195585,1,1,1,1,1,0,0,20240902,20260101
195586,1,1,1,1,1,0,0,20240902,20260101
199166,1,1,1,1,1,0,0,20241104,20260101
192453,0,0,0,0,0,1,1,20240629,20260101
198607,1,1,1,1,1,0,0,20241001,20260101
184137,0,0,0,0,0,1,1,20240224,20260101
195589,1,1,1,1,1,0,0,20240902,20260101
184063,0,0,0,0,0,1,1,20240224,20260101
188759,1,1,1,1,1,0,0,20240617,20260101
174882,0,0,0,0,0,1,1,20230624,20260101
195590,1,1,1,1,1,0,0,20240903,20260101
182209,0,0,0,0,0,1,1,20240203,20260101
181917,1,1,1,1,1,0,0,20240129,20260101
181918,0,0,0,0,0,1,1,20240203,20260101
181916,0,0,0,0,0,1,1,20240203,20260101
181915,1,1,1,1,1,0,0,20240129,20260101
205501,0,0,0,0,0,1,1,20250104,20260101
205500,1,1,1,1,1,0,0,20250103,20260101
206683,0,0,0,0,0,1,1,20250201,20260101
202389,1,1,1,1,1,0,0,20250127,20260101
201097,0,0,0,0,0,1,1,20241109,20250131
200803,1,1,1,1,1,0,0,20241028,20250126
203279,1,1,1,1,1,0,0,20241216,20260101
198365,0,0,0,0,0,1,1,20241005,20260101
194178,0,0,0,0,0,1,1,20240727,20260101
203765,0,0,0,0,0,1,1,20241221,20260101
203764,1,1,1,1,1,0,0,20241216,20260101
202020,1,1,1,1,1,0,0,20241118,20260101
198363,0,0,0,0,0,1,1,20241005,20260101
195594,1,1,1,1,1,0,0,20240902,20260101
192295,0,0,0,0,0,1,1,20240629,20260101
202257,1,1,1,1,1,0,0,20241202,20260101
165270,0,0,0,0,0,1,1,20230624,20260101
204595,0,0,0,0,0,1,1,20250104,20260101
204594,1,1,1,1,1,0,0,20250102,20260101
202021,1,1,1,1,1,0,0,20241118,20260101
185405,0,0,0,0,0,1,1,20240501,20260101
199673,1,1,1,1,1,0,0,20241104,20260101
194621,0,0,0,0,0,1,1,20240914,20260101
195974,1,1,1,1,1,0,0,20240903,20260101
194622,0,0,0,0,0,1,1,20240907,20260101
195973,1,1,1,1,1,0,0,20240902,20260101
194623,0,0,0,0,0,1,1,20240907,20260101
196391,1,1,1,1,1,0,0,20240902,20260101
194624,0,0,0,0,0,1,1,20240907,20260101
196520,1,1,1,1,1,0,0,20240903,20260101
194688,0,0,0,0,0,1,1,20240907,20260101
196390,1,1,1,1,1,0,0,20240902,20260101
194689,0,0,0,0,0,1,1,20240907,20260101
195980,1,1,1,1,1,0,0,20240902,20260101
203202,1,1,1,1,1,0,0,20241216,20260101
194690,0,0,0,0,0,1,1,20240907,20260101
194691,0,0,0,0,0,1,1,20240907,20260101
196389,1,1,1,1,1,0,0,20240902,20260101
194692,0,0,0,0,0,1,1,20240907,20260101
195981,1,1,1,1,1,0,0,20240902,20260101
194693,0,0,0,0,0,1,1,20240907,20260101
196383,1,1,1,1,1,0,0,20240903,20260101
194694,0,0,0,0,0,1,1,20240907,20260101
196384,1,1,1,1,1,0,0,20240903,20260101
194695,0,0,0,0,0,1,1,20240907,20260101
196208,1,1,1,1,1,0,0,20240902,20260101
194696,0,0,0,0,0,1,1,20240907,20260101
196209,1,1,1,1,1,0,0,20240902,20260101
