service_id,date,exception_type
202898,20250401,2
202898,20260101,2
202898,20250216,2
202898,20250311,2
202898,20250501,2
202898,20250624,2
202898,20250706,2
202898,20250815,2
202898,20251101,2
202898,20251102,2
202898,20251224,2
202898,20251225,2
202898,20251226,2
195136,20250401,2
195136,20260101,2
195136,20250216,2
195136,20250311,2
195136,20250501,2
195136,20250624,2
195136,20250706,2
195136,20250815,2
195136,20251101,2
195136,20251102,2
195136,20251224,2
195136,20251225,2
195136,20251226,2
192103,20250401,1
192103,20260101,1
192103,20250216,1
192103,20250311,1
192103,20250501,1
192103,20250624,1
192103,20250706,1
192103,20250815,1
192103,20251101,1
192103,20251102,1
192103,20251224,1
192103,20251225,1
192103,20251226,1
195265,20250401,2
195265,20260101,2
195265,20250216,2
195265,20250311,2
195265,20250501,2
195265,20250624,2
195265,20250706,2
195265,20250815,2
195265,20251101,2
195265,20251102,2
195265,20251224,2
195265,20251225,2
195265,20251226,2
173162,20250401,1
173162,20260101,1
173162,20250216,1
173162,20250311,1
173162,20250501,1
173162,20250624,1
173162,20250706,1
173162,20250815,1
173162,20251101,1
173162,20251102,1
173162,20251224,1
173162,20251225,1
173162,20251226,1
195267,20250401,2
195267,20260101,2
195267,20250216,2
195267,20250311,2
195267,20250501,2
195267,20250624,2
195267,20250706,2
195267,20250815,2
195267,20251101,2
195267,20251102,2
195267,20251224,2
195267,20251225,2
195267,20251226,2
172691,20250401,1
172691,20260101,1
172691,20250216,1
172691,20250311,1
172691,20250501,1
172691,20250624,1
172691,20250706,1
172691,20250815,1
172691,20251101,1
172691,20251102,1
172691,20251224,1
172691,20251225,1
172691,20251226,1
198437,20250401,2
198437,20260101,2
198437,20250216,2
198437,20250311,2
198437,20250501,2
198437,20250624,2
198437,20250706,2
198437,20250815,2
198437,20251101,2
198437,20251102,2
198437,20251224,2
198437,20251225,2
198437,20251226,2
201275,20250401,2
201275,20260101,2
201275,20250216,2
201275,20250311,2
201275,20250501,2
201275,20250624,2
201275,20250706,2
201275,20250815,2
201275,20251101,2
201275,20251102,2
201275,20251224,2
201275,20251225,2
201275,20251226,2
196136,20250401,1
196136,20260101,1
196136,20250216,1
196136,20250311,1
196136,20250501,1
196136,20250624,1
196136,20250706,1
196136,20250815,1
196136,20251101,1
196136,20251102,1
196136,20251224,1
196136,20251225,1
196136,20251226,1
195269,20250401,2
195269,20260101,2
195269,20250216,2
195269,20250311,2
195269,20250501,2
195269,20250624,2
195269,20250706,2
195269,20250815,2
195269,20251101,2
195269,20251102,2
195269,20251224,2
195269,20251225,2
195269,20251226,2
197925,20250401,2
197925,20260101,2
197925,20250216,2
197925,20250311,2
